Data;Type
9383CDFFD33FFF0F;1
A483CDFFD33FFF0F;1
9683CDFFD13FFF0F;1
9E83CEFFD53FFF0F;1
8B83CDFFD33FFF0F;1
9E83CDFFD43FFF0F;1
8583CDFFD13FFF0F;1
9783CDFFD13FFF0F;1
9083CDFFD43FFF0F;1
A783CDFFD33FFF0F;1
8983CEFFD43FFF0F;1
9983D0FFD33FFF0F;1
8E83CEFFD53FFF0F;1
9D83CEFFD43FFF0F;1
8C83CEFFD43FFF0F;1
9E83CEFFD53FFF0F;1
8D83CDFFD43FFF0F;1
9783CEFFD73FFF0F;1
9083CEFFD33FFF0F;1
A883CEFFD43FFF0F;1
8B83CEFFD43FFF0F;1
9983CEFFD63FFF0F;1
9083CDFFD13FFF0F;1
A183CDFFD53FFF0F;1
9783CDFFD13FFF0F;1
9E83CDFFD33FFF0F;1
8C83CDFFD33FFF0F;1
9D83CDFFD53FFF0F;1
9183CEFFD33FFF0F;1
9B83CEFFD63FFF0F;1
8C83CEFFD43FFF0F;1
AA83CEFFD53FFF0F;1
9183CEFFD33FFF0F;1
A883CDFFD03FFF0F;1
8C83CDFFD03FFF0F;1
9C83CDFFD43FFF0F;1
9583CCFFD33FFF0F;1
9D83CDFFD33FFF0F;1
8F83CCFFD03FFF0F;1
9E83CCFFD03FFF0F;1
9283CCFFD03FFF0F;1
9583CDFFD43FFF0F;1
8983CEFFD33FFF0F;1
9F83CDFFD13FFF0F;1
9483CDFFD13FFF0F;1
9D83CEFFD33FFF0F;1
8683CDFFD03FFF0F;1
A383CDFFD33FFF0F;1
8F83CEFFD43FFF0F;1
A083CDFFD13FFF0F;1
8883CDFFD33FFF0F;1
A383CEFFD13FFF0F;1
8283CEFFD43FFF0F;1
A783CEFFD63FFF0F;1
9183CEFFD33FFF0F;1
A783CEFFD53FFF0F;1
8E83CEFFD33FFF0F;1
9D83CDFFD03FFF0F;1
8F83CDFFD13FFF0F;1
9C83CEFFD43FFF0F;1
8D83CEFFD33FFF0F;1
A883CDFFD33FFF0F;1
9283CDFFD13FFF0F;1
A483CDFFD13FFF0F;1
9183CDFFCE3FFF0F;1
9983CCFFCF3FFF0F;1
8F83CDFFD03FFF0F;1
A083CDFFD13FFF0F;1
9083CDFFD43FFF0F;1
A283CDFFD33FFF0F;1
9983CDFFD33FFF0F;1
9E83CDFFD33FFF0F;1
8483CDFFD13FFF0F;1
A383CDFFD13FFF0F;1
9283CEFFD13FFF0F;1
9D83CDFFD43FFF0F;1
C1B4720C31E98E00;4
C1B4720C31E98E00;4
C1B4720C31E98E00;4
C1B4720C31E98E00;4
C1B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
C0B4720C31E98E00;4
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
3A2FB04E00000000;5
D200080000000000;6
0A01241C07008800;6
D200070000000000;6
0B00070204002200;6
D200070000000000;6
0D030000844CD279;6
D200080000000000;6
1100000000000000;6
D200080000000000;6
123C4931833F4D83;6
D200080000000000;6
1405000031D4D961;6
D200080000000000;6
0A01241C07008800;6
D200080000000000;6
0B00070204002200;6
D200080000000000;6
0D030000844CD279;6
D200080000000000;6
1100000000000000;6
D200080000000000;6
123C4931833F4D83;6
D200080000000000;6
1405000031D4D961;6
D200070000000000;6
0A01241C07008800;6
D200080000000000;6
0B00070204002200;6
5200070000000000;6
0D030000844CD279;6
D200080000000000;6
1100000000000000;6
D200080000000000;6
123C4931833F4D83;6
D200090000000000;6
1405000031D4D961;6
D200080000000000;6
0A01241C07008800;6
D200080000000000;6
0B00070204002200;6
D200080000000000;6
0D030000844CD279;6
D200080000000000;6
1100000000000000;6
D200080000000000;6
123C4931833F4D83;6
D200080000000000;6
1405000031D4D961;6
D200080000000000;6
0A01241C07008800;6
D200080000000000;6
0004C262000003B6;3
B4078FFD08C0C3DD;5
D8800000E7001123;3
0004C262000000BC;1
B4078FFD0CCCDC0A;5
0004C26200000139;1
B4078FFD012CD5C6;5
0004C26200000233;1
B4078FFD0510CADB;5
0004C262000003B6;1
B4078FFD08C0C3DD;5
0004C262000000BC;1
B4078FFD0CCCDC0A;5
0004C26200000139;1
B4078FFD012CD5C6;5
0004C26200000233;1
B4078FFD0510CADB;5
0004C262000003B6;1
B4078FFD08C0C3DD;5
0004C262000000BC;1
B4078FFD0CCCDC0A;5
0004C26200000139;1
B4078FFD012CD5C6;5
D8800000E7001229;3
0004C26200000233;1
B4078FFD0510CADB;5
0004C262000003B6;1
B4078FFD08C0C3DD;5
0004C262000000BC;1
B4078FFD0CCCDC0A;5
0004C26200000139;1
B4078FFD012CD5C6;5
0004C26200000233;1
B4078FFD0510CADB;5
0004C262000003B6;1
B4078FFD08C0C3DD;5
0004C262000000BC;1
B4078FFD0CCCDC0A;5
0004C26200000139;1
B4078FFD012CD5C6;5
0004102100000036;6
0004C26200000233;1
B4078FFD0510CADB;5
0004C262000003B6;1
B4078FFD08C0C3DD;5
D8800000E70013AC;3
0204102100000005;6
0004C262000000BC;1
B4078FFD0CCCDC0A;5
00FEFFFFF9FFFF00;2
FF0FFFFFFFFFFFFF;6
0004C26200000139;1
B4078FFD012CD5C6;5
0004C26200000233;1
B4078FFD0510CADB;5
0004C262000003B6;1
B4078FFD08C0C3DD;5
0004C262000000BC;1
B4078FFD0CCCDC0A;5
0004C26200000139;1
B4078FFD012CD5C6;5
0004C26200000233;1
B4078FFD0510CADB;5
0204102100000016;6
0004C262000003B6;1
B4078FFD08C0C3DD;5
0004C262000000BC;1
B4078FFD0CCCDC0A;5
0004C26200000139;1
B4078FFD012CD5C6;5
D8800000E70010A6;3
0004C26200000233;1
B4078FFD0510CADB;5
0004C262000003B6;1
B4078FFD08C0C3DD;5
0004C262000000BC;1
B4078FFD0CCCDC0A;5
0004C26200000139;1
